26,12,9
32,12,27
22,9,
27,12,1
10,28,34
29,6,19
31,26,2
17,18,3
15,29,28
6,,28
9,5,19
15,17,17
6,3,2
2,26,2
23,4,2
1,33,6
25,15,5
3,12,7
27,20,24
12,1,9
30,16,2
13,13,26
6,16,10
4,20,23
31,,32
22,17,20
24,8,7
20,29,14
17,30,20
17,24,22
14,,11
29,6,32
10,,24
5,15,28
19,13,7
18,15,16
29,13,2
2,9,3
1,31,8
11,11,33
33,23,15
18,6,26
32,5,15
21,8,6
16,7,17
12,23,28
28,17,3
4,11,20
27,24,34
11,6,34
32,9,7
13,13,11
27,9,20
1,4,7
8,20,16
10,19,10
22,6,7
15,14,13
33,26,28
16,7,21
28,,
25,15,12
18,22,8
32,30,32
30,6,32
7,10,32
9,33,7
9,31,33
25,18,10
7,29,24
14,26,25
21,26,7
26,31,12
21,8,5
29,25,2
3,4,8
11,4,30
31,18,16
30,10,16
18,11,7
32,23,2
31,13,13
7,4,3
27,6,12
25,30,18
8,,30
11,2,26
25,3,28
29,32,33
28,31,16
10,15,16
33,27,32
21,32,17
26,13,
33,19,10
8,7,4
11,33,5
19,23,32
9,14,6
27,14,23
32,2,18
3,16,17
33,9,11
2,2,11
18,24,27
1,1,24
8,18,
4,10,18
10,22,15
10,33,23
32,27,17
4,6,1
27,25,23
11,15,22
2,14,5
10,30,31
3,25,4
23,18,6
12,14,18
5,24,22
16,31,11
13,5,6
30,19,34
25,23,7
6,8,7
6,29,26
17,28,25
17,15,14
30,13,12
14,2,29
1,20,18
6,26,31
20,29,13
28,17,17
26,32,20
13,,27
9,23,1
23,8,33
10,33,16
,33,15
25,30,31
14,25,29
32,15,17
28,2,1
1,24,12
25,28,30
17,10,33
23,19,23
26,22,21
32,5,7
31,20,34
1,21,18
19,7,24
4,13,14
14,22,7
10,17,5
3,32,2
9,15,33
32,14,17
32,26,24
6,9,19
2,14,22
13,9,33
24,27,20
29,16,20
20,4,14
22,12,3
25,27,16
6,6,17
25,6,10
32,,25
31,1,24
10,2,20
29,23,18
5,21,6
27,27,9
21,20,17
31,33,6
,9,27
25,4,22
20,27,29
16,17,1
31,14,7
9,3,30
18,23,24
4,30,18
30,21,13
32,31,8
7,32,14
2,19,1
21,27,24
17,28,23
14,22,14
24,15,8
,16,16
3,6,19
31,3,2
,,4
27,33,30
33,30,32
