2,13,2
29,5,15
33,17,12
10,13,18
32,24,1
19,16,25
7,28,30
27,17,3
16,28,12
33,29,22
1,16,16
19,23,22
6,17,14
6,25,6
12,9,8
22,8,9
15,18,21
6,19,5
24,19,13
29,14,29
7,20,7
30,12,16
19,8,2
1,3,29
28,32,22
3,17,27
13,24,
31,12,33
26,23,19
28,11,6
24,13,20
30,31,28
21,11,23
31,31,25
6,17,4
12,18,17
31,32,6
15,7,
15,30,13
18,33,32
19,31,3
30,12,33
32,18,
2,13,6
15,5,30
31,6,30
32,1,23
18,6,7
22,29,11
13,24,11
16,24,20
23,23,5
20,13,10
13,1,27
26,6,33
23,25,15
30,11,14
31,20,22
,13,6
29,30,31
1,21,28
18,32,12
16,,1
30,4,7
17,2,30
16,13,4
31,21,34
19,21,6
1,27,12
26,24,23
13,26,7
25,5,23
10,28,4
5,3,31
23,30,23
24,24,11
12,14,4
4,8,16
25,32,25
7,1,3
7,5,19
16,22,8
25,28,15
33,3,5
13,10,21
3,1,10
21,29,1
4,9,
12,5,28
11,19,9
22,12,34
21,27,24
27,5,30
25,31,8
16,29,8
29,1,28
4,12,34
29,21,16
27,23,18
2,11,11
6,33,28
7,30,9
25,29,12
6,17,11
5,16,2
5,4,32
7,2,24
28,30,17
28,21,21
18,12,33
8,20,10
5,24,11
11,14,12
33,11,29
31,26,34
17,3,18
2,33,26
24,25,22
30,17,3
4,16,19
23,21,7
32,21,31
21,17,9
4,3,17
27,11,3
30,20,14
7,24,18
14,10,15
11,6,11
3,19,25
8,14,20
10,18,33
23,31,10
16,24,30
32,11,31
8,33,18
32,18,26
1,22,23
1,29,23
25,30,5
30,15,15
6,4,24
24,33,5
24,22,23
21,19,10
23,16,12
,12,12
11,24,33
7,1,23
23,3,23
32,10,15
23,29,24
26,1,29
2,6,33
3,25,22
16,30,6
30,5,13
23,18,2
17,29,31
24,25,
8,24,3
22,22,5
19,31,10
30,17,34
12,33,13
6,24,31
7,3,26
25,7,15
30,19,14
,6,20
21,8,
32,3,
32,17,34
10,7,12
15,4,18
9,14,3
31,32,14
28,30,15
5,29,16
15,23,18
1,3,4
1,,8
10,7,29
15,23,28
18,11,
25,6,26
30,17,33
31,21,28
27,20,28
13,15,23
1,22,12
10,14,33
6,22,13
26,30,2
13,12,26
20,20,19
1,33,6
13,28,9
30,30,30
25,25,30
