27,19,16
9,11,30
29,10,14
2,32,21
26,24,10
20,27,3
28,24,14
21,13,15
18,23,25
19,30,12
30,30,13
2,17,17
19,23,15
1,24,1
26,9,13
12,11,22
23,19,1
15,20,12
21,20,8
21,33,7
21,33,2
15,17,19
25,20,7
19,15,15
23,9,22
2,,21
32,21,5
9,27,22
4,4,14
7,29,21
31,1,7
13,4,2
18,16,30
21,29,29
11,23,31
15,1,22
21,4,17
32,22,10
19,31,14
27,3,16
2,17,14
18,33,5
33,32,17
29,13,13
7,33,14
24,,24
32,21,26
5,9,12
1,11,30
22,5,14
23,32,14
20,16,9
7,15,15
16,21,6
26,2,16
23,12,8
24,19,24
8,26,7
27,14,6
6,25,30
8,4,9
18,14,33
1,16,10
28,4,15
,25,14
32,16,27
32,28,32
10,17,28
4,7,19
19,13,23
18,19,16
,25,11
2,17,1
7,13,16
7,18,32
31,9,30
7,31,14
33,30,14
30,32,23
33,4,1
29,3,15
10,28,9
11,30,5
19,4,22
12,12,17
4,23,24
24,31,
1,16,20
22,12,8
26,17,23
13,,24
5,17,6
29,8,21
27,3,17
22,11,1
1,16,
26,11,5
,13,19
26,26,5
11,17,2
4,9,19
7,32,7
20,24,29
5,15,24
,30,22
24,4,19
27,2,8
26,25,7
27,13,26
8,1,23
30,33,1
25,33,29
29,26,13
19,22,20
,17,33
19,11,7
30,20,11
1,20,2
26,16,25
33,33,33
16,23,24
24,3,18
13,21,3
33,8,26
27,20,29
10,10,2
11,13,25
33,,33
31,22,6
22,25,28
25,15,30
15,31,29
22,28,2
28,15,1
,4,9
17,23,6
26,18,31
4,8,
31,33,1
17,21,3
3,7,29
30,31,26
23,11,9
17,24,23
9,22,21
7,20,2
11,12,
15,9,1
32,32,19
18,6,19
5,17,29
9,8,4
7,7,1
33,29,11
14,22,3
22,13,5
21,25,11
30,10,21
27,17,11
26,21,15
17,17,5
27,33,33
25,28,21
8,17,8
9,32,8
14,23,10
20,23,27
,27,22
21,27,6
19,11,32
1,23,12
28,26,22
28,19,29
15,33,21
27,11,13
19,2,10
31,22,11
18,16,25
22,1,5
16,32,5
5,13,11
12,20,19
32,12,21
1,16,4
19,4,2
2,3,8
1,12,6
29,32,3
18,14,25
24,31,34
7,22,24
10,13,19
5,24,23
19,12,6
26,7,5
5,2,23
17,23,26
8,28,32
2,27,5
18,8,8
