21,10,16,19
18,24,21,
19,21,14,4
14,24,8,23
12,23,15,22
,10,24,
13,,6,23
10,1,,12
6,6,6,18
1,,9,9
23,21,19,17
,21,4,15
12,25,16,7
,7,9,13
21,22,17,13
21,1,12,5
9,12,2,14
7,19,14,16
1,19,24,2
11,17,25,22
5,6,18,20
22,14,24,9
10,14,13,14
8,19,9,16
22,16,15,17
3,23,6,14
15,4,16,10
1,4,5,2
25,2,2,16
7,14,11,12
4,8,24,16
23,17,16,11
14,4,11,14
18,21,7,24
23,20,24,5
5,1,15,4
5,9,10,3
,2,8,3
13,4,12,24
22,12,7,11
21,15,5,12
2,25,6,11
2,,11,19
7,21,8,22
4,10,8,9
13,7,1,9
13,,21,3
18,17,,12
14,,3,13
16,18,11,22
21,22,23,11
5,17,18,
16,15,18,8
11,8,9,18
7,6,2,20
,,16,24
16,12,4,8
9,4,19,10
1,10,8,9
3,22,19,21
8,25,,14
9,25,14,3
2,14,9,25
4,17,14,22
12,14,21,20
22,18,18,18
1,9,4,18
7,15,18,9
4,18,11,24
20,,15,10
12,5,13,7
4,16,20,2
,15,1,1
7,3,6,18
18,17,15,
10,16,1,23
3,3,24,25
14,15,2,18
10,10,18,19
24,14,5,5
8,15,4,21
2,7,13,25
21,17,8,22
,9,19,22
7,21,11,2
25,14,6,25
24,,21,3
22,20,5,14
3,,8,21
14,3,5,15
8,8,20,15
18,1,7,7
20,20,6,20
17,14,14,22
9,15,22,5
19,4,19,10
14,11,21,11
20,,12,18
9,8,3,5
12,24,9,1
22,11,13,25
9,14,21,11
19,16,14,5
6,21,21,16
18,,9,3
12,5,23,23
16,24,18,2
15,5,,21
5,1,20,8
21,25,12,23
19,15,21,10
19,8,4,15
3,17,15,20
12,10,25,5
7,5,24,1
24,6,10,11
23,8,12,6
24,4,9,15
25,9,22,
25,24,18,24
18,11,6,14
5,7,11,17
24,20,18,22
5,7,23,9
25,1,13,6
8,9,24,24
16,5,17,23
21,12,24,24
7,11,2,2
6,,16,8
21,4,5,
20,11,,6
21,9,6,13
,19,24,18
6,22,5,22
17,25,7,14
6,25,14,21
24,20,20,4
24,3,3,6
23,18,2,16
7,24,20,
19,18,12,14
8,7,7,
3,11,24,2
23,17,20,3
6,5,13,9
23,10,20,13
13,13,6,16
25,10,23,4
15,8,15,18
16,7,7,21
23,21,23,24
23,14,22,4
23,11,2,24
4,14,25,13
24,19,25,3
,7,6,16
12,15,4,15
3,19,3,13
17,14,9,
23,15,14,10
25,3,7,20
14,18,21,19
5,24,16,24
25,6,15,24
2,20,8,22
14,18,9,22
14,2,11,5
13,23,4,1
15,6,7,5
13,18,22,14
23,23,11,6
15,15,24,4
6,21,7,14
5,18,3,6
18,13,13,15
9,21,16,16
11,21,7,24
22,3,3,24
17,5,20,
22,2,9,9
3,8,24,9
21,3,23,17
8,25,6,7
22,19,8,22
9,2,5,24
18,3,7,18
2,5,16,5
12,15,4,21
10,4,1,16
15,24,25,7
20,4,22,3
19,17,13,14
24,16,11,1
11,8,10,21
22,11,24,7
3,25,10,15
23,2,7,12
24,21,22,23
25,20,25,25
