19,,16,8
21,23,2,10
11,19,2,20
,24,20,11
13,16,18,6
12,16,24,22
4,21,1,5
19,18,23,25
25,19,3,24
,1,15,10
2,15,7,25
23,8,,5
8,22,7,
21,6,6,1
20,5,17,8
5,24,13,11
14,10,12,22
6,10,17,18
13,17,12,17
4,,16,21
21,7,4,16
21,11,6,7
12,24,24,8
22,1,25,7
15,12,14,24
22,2,14,10
24,25,1,13
11,17,25,22
24,3,9,25
3,21,,25
8,17,10,24
25,19,2,2
12,2,22,8
3,17,14,5
,2,20,16
13,14,9,6
23,19,19,4
15,9,3,10
24,2,12,14
15,21,14,18
14,10,24,15
23,12,23,5
11,17,2,10
1,5,5,5
,10,,17
24,,19,7
20,25,21,21
11,8,23,24
20,3,25,5
19,1,23,21
15,,15,2
15,6,22,3
13,22,22,2
25,14,25,13
10,25,13,16
5,23,20,7
,10,1,14
6,24,18,20
3,11,4,17
25,8,10,11
5,13,7,18
20,17,6,15
17,4,8,8
13,11,2,13
20,7,25,10
2,4,19,17
21,18,23,
,14,17,16
4,,9,25
14,21,,3
17,12,20,2
18,11,8,20
7,7,18,4
24,19,19,7
19,21,17,20
16,10,5,17
4,3,22,15
24,5,3,7
6,22,5,12
14,25,20,25
21,3,4,19
20,11,7,19
5,1,17,4
18,11,5,15
5,3,10,15
2,12,2,2
18,20,19,21
12,3,10,8
11,17,12,21
12,1,5,8
20,10,23,15
22,25,3,18
4,12,17,10
25,14,10,21
16,15,18,20
10,4,11,20
1,2,13,12
18,13,4,2
18,22,2,25
21,19,4,5
21,10,18,8
9,5,21,9
18,22,25,4
8,22,,10
12,5,16,2
9,18,12,10
23,23,20,21
20,14,11,14
19,12,18,11
5,10,17,25
16,21,2,4
19,12,2,22
1,9,11,18
,19,4,14
13,6,4,13
22,23,3,4
4,,6,18
20,24,21,17
5,22,17,
3,4,17,18
16,6,7,23
2,15,15,21
2,20,9,9
1,17,10,12
7,5,21,2
23,20,15,10
15,16,13,8
23,15,14,23
,10,25,15
22,14,2,15
15,,11,8
23,10,1,23
23,24,13,13
17,11,18,1
3,,9,23
22,14,9,23
4,13,23,11
13,,10,20
3,19,3,17
,18,18,1
8,13,22,3
14,17,1,14
21,15,3,3
11,24,13,
10,24,21,19
20,8,13,4
8,5,21,19
25,7,19,13
18,8,16,12
16,6,3,12
9,2,6,22
24,23,21,6
,16,,25
9,13,12,10
24,16,3,1
,2,12,16
21,11,11,9
15,2,24,7
19,15,17,8
24,21,7,24
1,,8,5
18,12,13,17
25,15,14,25
8,14,,14
20,24,7,25
15,1,20,
16,25,3,16
22,2,14,10
19,15,9,9
16,7,23,20
12,17,14,3
6,22,16,7
15,6,7,
15,8,11,8
22,6,24,17
24,25,13,
18,20,23,13
1,23,11,2
22,25,7,15
2,15,12,21
20,8,22,11
18,6,22,21
,21,15,1
15,,20,9
17,14,4,15
3,11,21,1
22,11,12,23
18,9,21,3
23,4,5,7
5,14,9,13
25,8,14,17
7,25,19,24
25,8,14,25
1,18,16,10
8,,10,2
14,7,7,9
8,12,22,
25,25,20,15
18,19,20,13
8,8,9,17
